,title,magnitude,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,day,hour,minute
128,932,7.8,9,7,0,1,1111,9,0,0.621,60.0,8,28.0,55.1079,-158.477,342,6,54,2020,7,22,6,12
129,621,7.0,6,7,0,1,820,9,0,1.671,18.0,8,73.0,-7.847,147.755,349,6,35,2020,7,17,2,50
130,298,6.6,4,2,0,0,684,9,0,1.458,14.0,8,533.76,-5.6368,110.678,51,6,20,2020,7,6,22,54
131,838,7.4,8,8,1,1,1494,9,0,0.151,30.0,8,20.0,15.9163,-95.9533,407,3,26,2020,6,23,15,29
132,840,7.4,7,7,0,1,873,9,0,4.035,23.0,8,10.0,-33.2938,-177.838,498,6,54,2020,6,18,12,49
133,185,6.6,5,4,0,1,734,9,0,2.015,18.0,8,165.0,28.9386,128.262,292,6,54,2020,6,13,15,51
134,484,6.8,6,6,0,1,835,9,0,1.164,21.0,8,112.0,-23.2966,-68.4204,398,5,9,2020,6,3,7,35
135,152,6.5,7,8,0,0,1320,6,27,0.357,55.79,3,2.7,38.1689,-117.85,278,3,53,2020,5,15,11,3
136,202,6.6,4,6,0,1,671,9,0,3.403,12.0,8,107.0,-12.0662,166.648,224,6,54,2020,5,12,22,41
137,525,6.8,4,6,0,0,738,9,0,1.921,16.0,8,96.0,-6.7762,129.785,44,6,20,2020,5,6,13,53
138,137,6.5,7,6,0,0,678,9,0,1.293,19.0,8,10.0,34.1818,25.7101,312,6,54,2020,5,2,12,51
139,155,6.5,8,8,0,0,1410,9,0,0.885,31.0,8,12.06,44.4646,-115.118,433,3,53,2020,3,31,23,52
140,851,7.5,6,5,0,1,879,9,0,4.109,12.0,8,57.8,48.9638,157.695,417,6,54,2020,3,25,2,49
141,672,7.0,5,6,3,1,770,9,0,4.501,25.0,8,143.0,45.6161,148.959,209,1,39,2020,2,13,10,33
142,896,7.7,9,6,3,1,1812,9,0,1.657,26.0,8,14.86,19.4193,-78.756,237,6,54,2020,1,28,19,10
143,335,6.7,8,9,1,0,1247,9,0,0.87,49.0,8,10.0,38.4312,39.0609,110,1,49,2020,1,24,17,55
144,500,6.8,9,7,3,1,825,9,0,0.546,39.0,8,18.0,6.6969,125.174,248,6,38,2019,12,15,6,11
145,692,7.1,6,6,0,1,799,9,0,1.271,11.0,8,33.0,1.6213,126.416,62,6,20,2019,11,14,16,17
146,36,6.5,0,2,0,0,650,9,0,4.765,25.0,8,577.0,-21.9449,-179.511,293,6,54,2019,11,8,10,44
147,189,6.6,4,4,0,1,673,9,0,5.086,48.0,8,10.0,-18.5747,-175.272,294,6,54,2019,11,4,22,43
148,62,6.5,9,7,0,1,733,9,0,0.428,19.0,8,10.0,6.9098,125.178,198,6,38,2019,10,31,1,11
149,163,6.6,9,7,3,1,780,9,0,0.646,24.0,8,15.0,6.7567,125.008,96,6,38,2019,10,29,1,4
150,403,6.7,7,6,0,1,844,9,0,1.269,98.0,8,11.0,-35.4758,-73.163,97,6,54,2019,9,29,15,57
151,18,6.5,7,7,3,1,656,9,0,3.909,15.0,8,12.26,-3.4528,128.37,176,6,20,2019,9,25,23,46
152,241,6.6,2,3,0,1,671,9,0,4.121,19.0,8,591.0,-20.3641,-178.57,293,6,14,2019,9,1,15,54
153,187,6.6,0,4,0,1,670,9,0,12.896,19.0,8,16.0,-60.2152,-26.5801,70,6,52,2019,8,27,23,55
154,544,6.9,4,6,0,0,875,9,0,2.839,23.0,8,49.0,-7.2822,104.791,219,6,54,2019,8,2,12,3
155,518,6.8,6,6,0,1,947,9,0,0.817,35.0,8,25.0,-34.2364,-72.3102,390,6,54,2019,8,1,18,28
156,272,6.6,0,4,0,1,670,9,0,6.024,30.0,8,181.0,-16.1985,167.998,222,6,55,2019,7,31,15,2
157,775,7.2,7,7,0,1,809,9,0,1.504,38.0,8,18.98,-0.5858,128.034,221,6,20,2019,7,14,9,10
158,211,6.6,5,5,0,0,791,9,0,2.978,32.0,8,10.0,-18.2242,120.358,71,6,54,2019,7,14,5,39
159,539,6.9,7,5,0,0,747,9,0,1.205,21.0,8,35.0,0.5126,126.189,205,6,20,2019,7,7,15,8
